date_of_sale ,street,postal_code,county,price ,not_full_market_price,vat_exclusive,property_name
3/1/2020,"4 CLUAIN OIR, MONAMOLIN, GOREY",,Wexford,140000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"49 KINGS HILL, NEWPORT RD, WESTPORT",,Mayo,220000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"5 DUNMORE, THE HEADLANDS, SARSFIELD RD",,Cork,185000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"5 MARLAY VIEW, BALLINTEER AVE, DUBLIN 16",Dublin 16,Dublin,335000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"53 RAVENSWOOD, GREGG ROAD, CARRICK ON SUIR",,Tipperary,128000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"66 COOLMINE PARK, CLONSILLA, DUBLIN 15",Dublin 15,Dublin,330000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"7 Oak Park Green, Oak Park, Craddockstown",,Kildare,288545.36,No,Yes,New Dwelling house /Apartment
3/1/2020,"83 MERRION PARK, BOOTERSTOWN, DUBLIN",,Dublin,545000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"97 BISHOPSWATER, WEXFORD, WEXFORD",,Wexford,120000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"APT 17, CHAPEL COURT, CLAREMORRIS",,Mayo,75000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"APT 2, BLOCK 22 RAILWAY RD, CLONGRIFFIN DUBLIN 13",Dublin 13,Dublin,137966.87,Yes,No,Second-Hand Dwelling house /Apartment
3/1/2020,"BALLYLIBERNAGH, BALLYCOGLEY, WEXFORD",,Wexford,145000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"CLOUGHGLASS, BURTONPORT, CO DONEGAL",,Donegal,87000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"COTTAGE, SHEEPGRANGE TULLYALLEN, DROGHEDA",,Louth,50000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"DRUMMALLAGHT, NEW INNS, BALLYJAMESDUFF",,Cavan,27000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"GRAIGUES, ROBERTSTOWN, NAAS",,Kildare,535000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"GROVE, CUFFESGRANGE, KILKENNY",,Kilkenny,120000,No,No,Second-Hand Dwelling house /Apartment
3/1/2020,"GUBNAHARDIA, CURRANE, ACHILL",,Mayo,150000,No,No,Second-Hand Dwelling house /Apartment
